설정,값,설명
제목,진해중 폐교 탈출,첫 화면 큰 제목
부제,삼각형과 사각형 편 (시트판),제목 위 작은 글씨
소개,오래전 문을 닫은 옛 진해중학교 건물. 정신을 차리니 정문이 잠겨 있다. 잠긴 문 네 개를 열고 교장실 금고에서 정문 열쇠를 찾아 탈출하라. 한 사람씩 도전하는 개인전이다. 학생마다 숫자가 다르다.,첫 화면 설명
교실 이름,2학년 3반,첫 번째 문 장면의 교실 팻말
간판,진 해 중 학,"첫 화면 학교 간판 (글자 사이 띄어 쓰기, 끝에 ""교""가 붙음)"
낙서,나가지 마,교실 장면의 붉은 낙서
잠금 시간(초),10,틀리면 잠기는 시간
아이용,아니오,"""예""로 하면 붉은 번쩍임·정전이 꺼지고 오답 소리가 순해집니다"

문,장소,이야기,질문,단서1,단서2,단서3,단서4,단서5,그림,변수,조건,정답,고르기,단위,글자,힌트1,힌트2,풀이,함정1,함정2,함정3
1,2학년 3반 교실,"복도 끝 2학년 3반. 칠판에 누군가 붉은 분필로 삼각형 두 개를 겹쳐 그려 놓았다. 각 하나가 지워져 있고, 교실 문은 안에서 잠겨 있다.",∠ABD의 크기는 몇 도일까?,칠판의 그림 | 점 D는 변 AC 위의 점이다. (그림은 실제 크기와 다를 수 있다.),칠판 구석의 낙서 | AB = AC,책상 속 쪽지 | BD = BC,분필로 쓴 숫자 | ∠A = {a}°,찢어진 교과서 한 쪽 | 이등변삼각형에서 길이가 같은 두 변의 맞은편에 있는 두 각의 크기는 같다.,"<svg viewBox=""0 0 250 200""><path class=""ln"" d=""M125 15 L55 185 L195 185 Z""/> <path class=""hl"" d=""M55 185 L154 86""/><circle class=""dot"" cx=""154"" cy=""86"" r=""3.5""/> <text x=""119"" y=""11"">A</text><text x=""40"" y=""198"">B</text><text x=""198"" y=""198"">C</text><text x=""160"" y=""84"">D</text></svg>",a = 20~52 간격 2,a != 36,90 - 1.5*a,,°,각,BD = BC이므로 △BDC도 이등변삼각형입니다. 크기가 같은 두 각은 ∠DBC가 아니라 ∠BDC와 ∠BCD입니다.,"∠C = {(180-a)/2}°이므로 ∠BDC = {(180-a)/2}°, ∠DBC = {a}°입니다. ∠ABC에서 ∠DBC를 빼 보세요.",∠ABC = ∠C = (180° − {a}°) ÷ 2 = {(180-a)/2}°. △BDC에서 ∠DBC = {a}°이므로 ∠ABD = {(180-a)/2}° − {a}° = {답}°,a : ∠DBC를 답으로 씀,(180-a)/2 : ∠ABC를 답으로 씀,
2,과학실,과학실 선반 하나가 벽에 기대어 직각삼각형 모양으로 쓰러져 있다. 누군가 꼭짓점 A에서 선을 그어 각을 똑같이 나눠 놓았다.,△ACD와 △AED는 합동이다. 합동 조건과 선분 CD의 길이는?,"쓰러진 선반 | D는 변 BC 위, E는 변 AB 위의 점이다.","실험 노트 ① | ∠C = 90°, DE ⊥ AB",실험 노트 ② | AD는 ∠A의 이등분선,"실험 노트 ③ | AC = {AC}, AB = {AB}",실험 노트 ④ | BC = {BC},"<svg viewBox=""0 0 270 195""><path class=""ln"" d=""M40 20 L40 170 L240 170 Z""/> <path class=""hl"" d=""M40 20 L115 170""/><path class=""hl"" d=""M115 170 L160 110""/> <path class=""aux"" d=""M40 158 L52 158 L52 170""/><path class=""aux"" d=""M150 102 L143 112 L153 118""/> <text x=""26"" y=""18"">A</text><text x=""24"" y=""186"">C</text><text x=""244"" y=""186"">B</text><text x=""110"" y=""188"">D</text><text x=""164"" y=""104"">E</text></svg>","k = 1~3
AC = 택(k, 6, 12, 12)
BC = 택(k, 8, 9, 16)
AB = 택(k, 10, 15, 20)",,AC*BC/(AC+AB),"합동 조건: RHA*, RHS, SAS",,정,"두 삼각형은 빗변 AD를 함께 쓰고, ∠CAD = ∠EAD 입니다. 빗변과 한 예각이 같습니다.",CD = DE = x라 두면 △ABC = △ACD + △ABD. ½ × {AC} × x + ½ × {AB} × x = ½ × {AC} × {BC},"빗변 AD 공통, ∠CAD = ∠EAD → RHA 합동. {AC/2}x + {AB/2}x = {AC*BC/2} → x = {답}",BC/2 : D를 BC의 중점으로 착각,,
3,도서실,"불 꺼진 도서실. 천장에 삼각형 문양이 있고, 세 꼭짓점에서 뻗은 선이 한 점에서 만난다.",∠BPC의 크기는 몇 도일까?,천장의 문양 | 삼각형 안의 점 P,대출 카드 | 점 P는 △ABC의 세 내각의 이등분선의 교점이다.,책갈피 메모 | ∠BAC = {b}°,"반납함 쪽지 | ∠PBA = ∠PBC, ∠PCA = ∠PCB",사서 선생님의 메모 | 삼각형의 세 내각의 크기의 합은 180°,"<svg viewBox=""0 0 260 200""><path class=""ln"" d=""M120 20 L20 180 L240 180 Z""/> <path class=""aux"" d=""M120 20 L124 122""/><path class=""hl"" d=""M20 180 L124 122 L240 180""/> <circle class=""dot"" cx=""124"" cy=""122"" r=""3.5""/> <text x=""114"" y=""14"">A</text><text x=""6"" y=""194"">B</text><text x=""242"" y=""194"">C</text><text x=""130"" y=""116"">P</text></svg>",b = 40~100 간격 4,b != 60,90 + b/2,,°,형,세 내각의 이등분선이 만나는 점은 외심이 아니라 내심입니다.,∠PBC + ∠PCB = ½ × (180° − {b}°),∠B + ∠C = {180-b}°이므로 ∠PBC + ∠PCB = {(180-b)/2}°. ∠BPC = 180° − {(180-b)/2}° = {답}°,2*b : 외심 공식(2∠A)을 씀,,
4,교무실,교무실 창문이 평행사변형으로 비틀려 있다. 꼭짓점 A에서 그은 붉은 선이 아랫변과 만난다.,선분 EC의 길이는?,비틀린 창문 | 점 E는 변 BC 위의 점이다.,출석부 ① | □ABCD는 평행사변형이다.,출석부 ② | AE는 ∠A의 이등분선,출석부 ③ | AB = {AB},출석부 ④ | AD = {AD},"<svg viewBox=""0 0 300 190""><path class=""ln"" d=""M80 66 L20 170 L220 170 L280 66 Z""/> <path class=""hl"" d=""M80 66 L140 170""/><circle class=""dot"" cx=""140"" cy=""170"" r=""3.5""/> <text x=""72"" y=""58"">A</text><text x=""6"" y=""184"">B</text><text x=""224"" y=""184"">C</text><text x=""284"" y=""60"">D</text><text x=""134"" y=""186"">E</text></svg>","AB = 4~7
EC = 8~11
AD = AB + EC",,EC,,,사,AD ∥ BC이므로 ∠DAE와 ∠AEB는 엇각으로 크기가 같습니다.,△ABE는 BA = BE인 이등변삼각형입니다. EC = BC − BE,△ABE는 이등변삼각형이라 BE = AB = {AB}. BC = AD = {AD}이므로 EC = {AD} − {AB} = {답},AD/2 : E를 BC의 중점으로 착각,AB : BE를 답으로 씀,
금고,교장실,교장실 구석에 네 칸짜리 글자 자물쇠가 달린 금고가 있다. 문 밖 복도에서 발소리가 점점 가까워진다.,,,,,,,,,,정사각형,,,,,,열쇠 숫자가 작은 순서: 2번째 문(정) · 4번째 문(사) · 1번째 문(각) · 3번째 문(형) → 정사각형,각정형사 : 얻은 순서대로 읽음,,
도전,지하 창고,"정문 옆, 탈출한 사람만 내려갈 수 있는 지하 창고. 바닥에 평행사변형이 그려져 있다.",△PCD의 넓이는?,바닥의 그림 | 평행사변형 안의 한 점 P,벽의 낙서 ① | □ABCD는 평행사변형이고 넓이는 {T},벽의 낙서 ② | △PAB의 넓이 = {x},벽의 낙서 ③ | △PBC의 넓이 = {y},,"<svg viewBox=""0 0 300 190""><path class=""ln"" d=""M60 40 L20 170 L240 170 L280 40 Z""/> <path class=""aux"" d=""M150 105 L60 40 M150 105 L20 170 M150 105 L240 170 M150 105 L280 40""/> <circle class=""dot"" cx=""150"" cy=""105"" r=""3.5""/> <text x=""52"" y=""32"">A</text><text x=""6"" y=""184"">B</text><text x=""244"" y=""184"">C</text><text x=""284"" y=""34"">D</text><text x=""156"" y=""100"">P</text></svg>","T = 40, 48, 56, 60, 72, 80
u = 25~75
x = 반올림(T/2*u/100)
y = 반올림(T/2*(100-u)/100) + 3",,T/2 - x,,,,"△PAB와 △PCD는 밑변의 길이가 같고, 두 높이의 합은 평행사변형의 높이입니다.",△PAB + △PCD = 평행사변형 넓이의 절반,△PAB + △PCD = ½ × {T} = {T/2}이므로 △PCD = {T/2} − {x} = {답}. △PBC는 필요 없는 정보였습니다.,,,

※ 쓰는 법,"문 칸: 1, 2, 3, 4, 금고, 도전 (도전 줄은 지워도 됩니다). 설정·제목 줄은 지우지 마세요."
※ 변수,"a = 20~52 간격 2 (범위) · b = 3, 4, 6 (목록 중 하나) · C = (180-a)/2 (다른 변수로 계산) · 줄을 바꾸거나 ; 로 구분"
※ 함수,"택(k, 6, 12, 12) → k번째 값 · 반올림(x) · 내림(x) · 올림(x) · 몫(a, b) · 나머지(a, b) · 자리(345, 1)=5 · sqrt(x) · min · max"
※ 조건,a != 36 처럼 쓰면 그 조건을 만족할 때까지 숫자를 다시 뽑습니다. 답 >= 12 처럼 정답도 쓸 수 있습니다. 여러 개는 ; 로 구분
※ 글 속 숫자,단서·질문·힌트·풀이에 {a} 또는 {(180-a)/2} 처럼 쓰면 학생마다 계산된 숫자가 들어갑니다. {답} 은 정답
※ 단서,"""제목 | 내용"" 모양. | 가 없으면 제목이 ""단서 1""이 됩니다"
※ 함정,"""식 : 설명"" 모양. 학생이 그 값을 넣으면 관제실 오답 분석에 설명이 표시됩니다"
※ 고르기,"합동 조건처럼 보기를 고르게 하려면 ""합동 조건: RHA*, RHS, SAS"" (맞는 보기에 *)"
※ 금고,"정답 칸에 네 글자 암호. 문 1~4의 정답이 작은 순서대로 글자를 읽으면 암호가 되도록 범위를 정하세요. 게임을 열 때 1,000번 검사해 알려 줍니다"
※ 그림,그림 칸에 이미지 주소(구글 드라이브 공유 링크도 됨)나 <svg> 코드. 첫 번째 단서에 붙습니다
※ 공유,[공유] → 일반 액세스 → 링크가 있는 모든 사용자 · 뷰어. 학생은 시트 주소를 몰라도 수업 코드로 들어옵니다
